Period,Value,Measure Type,Unit
day/2016-12-06,1022901.46,actual-eligible-demand,mwh
day/2016-12-07,975070.218,actual-eligible-demand,mwh
day/2016-12-08,962316.129,actual-eligible-demand,mwh
day/2016-12-09,937612.991,actual-eligible-demand,mwh
day/2016-12-10,859247.601,actual-eligible-demand,mwh
day/2016-12-11,850069.797,actual-eligible-demand,mwh
day/2016-12-12,979271.573,actual-eligible-demand,mwh
day/2016-12-13,971680.47,actual-eligible-demand,mwh
day/2016-12-14,947346.161,actual-eligible-demand,mwh
day/2016-12-15,963713.55,actual-eligible-demand,mwh
day/2016-12-16,937566.132,actual-eligible-demand,mwh
day/2016-12-17,867169.185,actual-eligible-demand,mwh
day/2016-12-18,852813.439,actual-eligible-demand,mwh
day/2016-12-19,966406.036,actual-eligible-demand,mwh
day/2016-12-20,972306.847,actual-eligible-demand,mwh
day/2016-12-21,965421.432,actual-eligible-demand,mwh
day/2016-12-22,944147.402,actual-eligible-demand,mwh
day/2016-12-23,871638.513,actual-eligible-demand,mwh
day/2016-12-24,791887.185,actual-eligible-demand,mwh
day/2016-12-25,701706.713,actual-eligible-demand,mwh
day/2016-12-26,713691.809,actual-eligible-demand,mwh
day/2016-12-27,798011.107,actual-eligible-demand,mwh
day/2016-12-28,885954.659,actual-eligible-demand,mwh
day/2016-12-29,895672.975,actual-eligible-demand,mwh
day/2016-12-30,892814.866,actual-eligible-demand,mwh
day/2016-12-31,829284.906,actual-eligible-demand,mwh
day/2017-01-01,804285.679,actual-eligible-demand,mwh
day/2017-01-02,862794.581,actual-eligible-demand,mwh
day/2017-01-03,994259.391,actual-eligible-demand,mwh
day/2017-01-04,1001511.782,actual-eligible-demand,mwh
day/2017-01-05,1025207.409,actual-eligible-demand,mwh
day/2017-01-06,1020471.787,actual-eligible-demand,mwh
day/2017-01-07,887937.358,actual-eligible-demand,mwh
day/2017-01-08,855925.3,actual-eligible-demand,mwh
day/2017-01-09,977435.227,actual-eligible-demand,mwh
day/2017-01-10,992945.141,actual-eligible-demand,mwh
day/2017-01-11,988915.736,actual-eligible-demand,mwh
day/2017-01-12,1026306.203,actual-eligible-demand,mwh
day/2017-01-13,1035700.79,actual-eligible-demand,mwh
day/2017-01-14,937558.345,actual-eligible-demand,mwh
day/2017-01-15,906772.404,actual-eligible-demand,mwh
day/2017-01-16,993077.127,actual-eligible-demand,mwh
day/2017-01-17,1003467.234,actual-eligible-demand,mwh
day/2017-01-18,1014227.76,actual-eligible-demand,mwh
day/2017-01-19,1012794.107,actual-eligible-demand,mwh
day/2017-01-20,1000339.493,actual-eligible-demand,mwh
day/2017-01-21,933997.054,actual-eligible-demand,mwh
day/2017-01-22,921008.375,actual-eligible-demand,mwh
day/2017-01-23,1034953.36,actual-eligible-demand,mwh
day/2017-01-24,1025707.598,actual-eligible-demand,mwh
day/2017-01-25,1032390.51,actual-eligible-demand,mwh
day/2017-01-26,1069393.028,actual-eligible-demand,mwh
day/2017-01-27,1044903.161,actual-eligible-demand,mwh
day/2017-01-28,913051.33,actual-eligible-demand,mwh
day/2017-01-29,898389.084,actual-eligible-demand,mwh
day/2017-01-30,995740.86,actual-eligible-demand,mwh
day/2017-01-31,1009690.239,actual-eligible-demand,mwh
day/2017-02-01,978137.096,actual-eligible-demand,mwh
day/2017-02-02,970281.515,actual-eligible-demand,mwh
day/2017-02-03,954473.709,actual-eligible-demand,mwh
day/2017-02-04,880745.817,actual-eligible-demand,mwh
day/2017-02-05,877613.034,actual-eligible-demand,mwh
day/2017-02-06,1009555.938,actual-eligible-demand,mwh
day/2017-02-07,990346.432,actual-eligible-demand,mwh
day/2017-02-08,1012531.022,actual-eligible-demand,mwh
day/2017-02-09,1040488.291,actual-eligible-demand,mwh
day/2017-02-10,1036621.518,actual-eligible-demand,mwh
